Country/countries,male,female,unknown
Argentina,1,0,2
Armenia,3,0,0
Artificial Intelligence,0,0,1
Australia,5,1,4
Austria,0,0,1
Bangladesh,2,0,0
Belarus,2,0,0
Belgium,3,0,2
Brazil,0,0,10
Bulgaria,0,0,1
Canada,8,0,17
Cayman Islands[87],0,0,1
Chile,0,0,1
China,4,1,60
Colombia,0,0,1
Croatia,2,0,1
Czech Republic,3,0,1
Denmark,0,0,2
Egypt,2,0,0
Estonia,1,0,0
Finland,16,2,2
France,9,0,29
Georgia,1,0,0
Germany,11,0,14
Hong Kong,0,0,7
India,23,2,72
Indonesia,0,0,8
Ireland,0,0,4
Israel,10,1,26
Japan,2,0,10
Lithuania,6,1,0
Luxembourg,0,0,1
Malaysia,0,0,1
Mexico,0,0,7
Netherlands,0,0,3
Nigeria,0,0,3
Norway,0,0,2
Philippines,0,0,3
Poland,2,0,0
Portugal,4,1,0
Portugal[358],2,0,0
Portugal[92],2,0,0
Russia,0,0,1
Seychelles,0,0,1
Singapore,1,0,8
South Korea,1,0,14
Spain,0,0,3
Sweden,6,0,4
Switzerland,3,0,4
Thailand,0,0,3
Turkey,1,1,1
Ukraine[56],3,0,0
United Arab Emirates,0,0,3
United Kingdom,14,1,21
United Kingdom Andeurope,0,0,1
United States,169,13,177
United States[57],3,0,0
United States[93],6,0,0
Vietnam,0,0,1
