Exit valuation(US$billions),male,female,unknown
0.012,0,0,1
0.013,0,0,1
0.015,0,0,1
0.1,2,1,0
0.25,0,0,2
0.4,0,0,2
0.425,0,0,1
0.46,0,0,1
0.57,0,0,1
0.65,0,0,1
0.67,0,0,1
0.74,0,0,1
0.769,0,0,1
0.8,0,0,1
0.86,0,0,1
0.975,0,0,1
1,5,0,1
1.16,0,0,1
1.17,0,0,1
1.2,3,0,1
1.3,4,0,3
1.33,0,0,1
1.4,0,0,3
1.42,0,0,1
1.47,0,0,1
1.5,0,0,3
1.54,0,0,1
1.6,0,0,1
1.67,4,0,0
1.68,0,0,1
1.7,0,0,3
1.74,0,0,1
1.8,2,0,4
1.9,0,0,1
1.9[776],0,0,1
10.0,3,0,0
10.13,0,0,2
10.5,3,0,1
100,3,0,0
104,5,0,0
11,2,0,3
11.6,1,0,1
12,2,0,0
12.3,0,0,1
13,3,0,0
14.2,3,0,1
17,1,0,0
19,2,0,0
19.3,2,0,0
2,1,1,1
2.0,0,0,1
2.1,3,0,4
2.2,0,0,2
2.21,0,0,1
2.35,0,0,1
2.37,0,0,1
2.4,0,0,3
2.5,0,0,2
2.6,1,0,2
2.65,0,0,2
2.7,0,0,2
2.96,1,0,0
20,2,1,1
21,0,0,1
21.3,0,0,1
22,1,0,1
23,0,0,1
238,1,0,0
24,3,0,0
24.0,2,0,0
25,0,0,1
26.7,1,0,1
28.6,0,0,1
29,1,0,0
3.1,1,0,2
3.3,0,0,1
3.5,0,0,1
3.6,2,0,1
3.7,0,0,3
3.73,0,0,1
3.9,0,0,3
30,2,0,0
32.4,3,0,0
33,2,0,2
4,4,0,3
4.3,3,0,0
4.5,0,0,1
4.6,0,0,2
4.9,0,0,1
40,2,0,0
45,2,1,0
5,0,0,1
5.0,2,0,0
5.3,0,0,2
5.5,0,0,1
5.8,0,0,2
53,0,0,1
58,0,0,1
6,1,0,5
6.2,1,0,0
6.5,0,0,2
6.7,0,0,2
6.8,3,0,0
60,1,0,0
60.9,0,0,2
65,2,0,0
7,6,0,0
7.0,0,0,1
7.02,0,0,1
7.3,0,0,1
7.4,1,0,1
7.5,1,0,2
7.6,0,0,1
7.9,0,0,1
70,0,0,1
73,0,0,1
8,0,0,1
8.1,5,1,2
8.3,2,0,0
8.5,1,0,1
8.65,0,0,1
8.7,0,0,1
8.9,0,0,1
82.4,2,0,0
9,4,1,0
9.0,0,0,1
9.5,0,0,1
Uruguay,0,0,1
